sales_order_id;revision_number;order_date;due_date;ship_date;status;online_order_flag;territory_id;sub_total;tax_amt;freight;total_due;Año;Mes;month_name
43659;8;2011-05-31;2011-06-12;2011-06-07;5;False;5;20565,6206;1971,5149;616,0984;23153,2339;2011;5;May
43660;8;2011-05-31;2011-06-12;2011-06-07;5;False;5;1294,2529;124,2483;38,8276;1457,3288;2011;5;May
43661;8;2011-05-31;2011-06-12;2011-06-07;5;False;6;32726,4786;3153,7696;985,553;36865,8012;2011;5;May
43662;8;2011-05-31;2011-06-12;2011-06-07;5;False;6;28832,5289;2775,1646;867,2389;32474,9324;2011;5;May
43663;8;2011-05-31;2011-06-12;2011-06-07;5;False;4;419,4589;40,2681;12,5838;472,3108;2011;5;May
43664;8;2011-05-31;2011-06-12;2011-06-07;5;False;1;24432,6088;2344,9921;732,81;27510,4109;2011;5;May
43665;8;2011-05-31;2011-06-12;2011-06-07;5;False;1;14352,7713;1375,9427;429,9821;16158,6961;2011;5;May
43666;8;2011-05-31;2011-06-12;2011-06-07;5;False;4;5056,4896;486,3747;151,9921;5694,8564;2011;5;May
43667;8;2011-05-31;2011-06-12;2011-06-07;5;False;3;6107,082;586,1203;183,1626;6876,3649;2011;5;May
43668;8;2011-05-31;2011-06-12;2011-06-07;5;False;6;35944,1562;3461,7654;1081,8017;40487,7233;2011;5;May
43669;8;2011-05-31;2011-06-12;2011-06-07;5;False;1;714,7043;70,5175;22,0367;807,2585;2011;5;May
43670;8;2011-05-31;2011-06-12;2011-06-07;5;False;3;6122,082;587,5603;183,6126;6893,2549;2011;5;May
43671;8;2011-05-31;2011-06-12;2011-06-07;5;False;1;8128,7876;780,8136;244,0042;9153,6054;2011;5;May
43672;8;2011-05-31;2011-06-12;2011-06-07;5;False;6;6124,182;587,6023;183,6257;6895,41;2011;5;May
43673;8;2011-05-31;2011-06-12;2011-06-07;5;False;2;3746,2015;357,9614;111,8629;4216,0258;2011;5;May
43674;8;2011-05-31;2011-06-12;2011-06-07;5;False;6;2624,382;251,9407;78,7315;2955,0542;2011;5;May
43675;8;2011-05-31;2011-06-12;2011-06-07;5;False;3;5716,3102;546,8759;170,8987;6434,0848;2011;5;May
